MatNr;Vorname;Nachname;E-Mail;Passwort;Lerngruppenname;LerngruppePasswort;SPO;Fachsemester;Bestandene Teilleistungen;Noch ausstehende Teilleistungen;3D Reconstruction Framework from Multi-View Images (3D-MuVi);Android-Applikation KIT-Mensa-Speiseplan;Assistenztools für den Maschinenbau;ChronoCommand - An Intelligent Web-Based Work Time Tracking Tool;Crowd Control -- Entwicklung von Steuerungsmechanismen für das Crowd Computing;DataDealer - Middelware für die interaktive Visualisierung verteilter Sensoren in WebApps;DataScientist -- benutzerorientierte Analyse großer hochdimensionaler Datenbestände;Der Microsoft Imagine Cup 2016 (nur 4er Teams);Der WorkspaceService - Die smarte Lernumgebung am KIT basierend auf HTML5 und REST;Distributed Camera Network 3D Calibration Suite;Dynamic scheduler for scientific simulations;Echtzeit-Computergrafik in der Spieleentwicklung;Industrie 4.0 und OPC UA;Interaktive Visualisierung von Real-Estate-Daten;Komponenten-Windkanal - Automatisches Ausmessen der Performance von Software-Komponenten;Medienbrowser zur inhaltsbasierten Suche in Bild- und Videodaten;Mobile Reconnaissance Manual -interaktive Assistenz für Erkennungsaufgaben;Modulares Multimedia-Werkzeug zum Testen von Videoencodern;Node.js Bindings for ROOT6 (auf Englisch);OpenID Connect for Linux (auf Englisch);ProfiNet-Modul für das Intrusion-Detection-System Snort;RoboCorder - Aufnahme und Wiedergabe von heterogenen Sensordaten eines humanoiden Roboters;Webapplikation zur Verwaltung Nachbearbeitung und Analyse multispektraler Datensätze
903151;Franzi;Riemann;a;$2a$10$wSBsmyJxd0MUAf1m4naa/uKr7y5cKNZqjY9A8Acu14Sx8Mr8sVp3O;8;$2a$10$eRwYhBmZ9FOsD/y49VZ7Ou4gh85rNiGlOSg1t6TWYjBqb/3HmUy2y;2008;3;LA,Algo,HM,SWT;;5;7;5;6;5;3;4;4;4;6;3;5;3;4;7;7;4;6;6;7;3;3;6;
907829;Resa;Diedrich;a;$2a$10$DCIAutTa3lpq.zMJ2dfzq.TNSiRWxDoLQKdht8oRDPMzLEosTFJuC;9;$2a$10$nHUfEz.GC5//qs5BHrY4Ou8QZj3FhsATrzwUazXRVR0cT5XZdSg2y;2008;3;LA,Algo,HM,SWT;;5;4;5;4;4;5;5;4;6;5;5;4;5;5;4;7;4;6;7;4;4;3;4;
911578;Tatyana;Grunwald;a;$2a$10$mWxGaNfZHBNV.vjpb7cu/.W8dFFTwicpRUulgr/GtkwjC2Q4kK8aO;40;$2a$10$CspiVTntrAW.1ZGfDoRYQOUPVh3xTj1XM2pcA6nsShQ0IHKMY3XjC;2008;3;LA,Algo,HM,SWT;;3;3;4;6;3;5;5;3;6;3;4;5;3;3;4;7;4;4;5;3;3;3;3;
923391;Hasretmakbule;Ruck;a;$2a$10$6OBSZBO.nIsHKMMTBw9a.uEorKNIkm3g2Ql11wMt5rXWCtvC7iJUa;42;$2a$10$GrDwQagoeZhWumMlFJl6Me7mPA2AeEZGPjWE5ZXlMJQcarBlwI/3a;2008;5;Algo,HM,SWT;;4;3;7;3;5;3;3;3;3;3;5;7;3;3;4;7;4;5;4;6;3;3;7;
926676;Sinek;Röhl;a;$2a$10$WurgMJ6qzP7.rgLdUlEuTeq/C8Smhd3ApCJCqYH5BwRRfCVlvu5km;31;$2a$10$i.dSjsZAeFaPqwjTeOin0.PK3F9t6vABd3SiBvLLCEzcqiOnAm1cK;2008;5;Algo,HM,SWT;;4;5;5;5;3;7;7;5;7;5;7;3;3;7;3;6;4;7;3;6;3;3;5;
927135;Mübeccel;Puls;a;$2a$10$4h6aPtZmgDy9goDTJm.MSuk3oieOfyjBqV0bVJWrM1VA8CR3ER76G;36;$2a$10$pAjPTDSHUFL1gujkBn7lHuMgz/ay/iBTca5/70oulQbafb7LTDCSa;2008;3;LA,Algo,HM,SWT;;3;3;6;7;3;5;4;4;4;3;5;4;3;6;3;6;4;5;5;3;3;3;6;
927867;Rexhaj;Dahl;a;$2a$10$qES.b5bQDs1oQ0yXCnDMo.XTbHi2o6RtCggYXJBBLIxHznAJ3/Fcu;21;$2a$10$9X4oUug7PN5hKdJcNsUdcuglhg1vsDKrX/do1GJZYtF6Zx4ey7Nwq;2008;3;LA,Algo,HM,SWT;;3;4;4;5;3;6;6;3;3;7;5;3;3;6;3;6;4;4;3;3;3;3;5;
930707;Adjevi;Reusch;a;$2a$10$Gk4CAnhgItLzqQLEzaxnKega8aVftpNGLcm3l8WrNS8IJEdq12C3u;28;$2a$10$cC17DGCMJlTSS5TFmD0uMuHtlnAVpfP245Eb3fEOEAhzvAvDi4.R6;2008;3;LA,Algo,HM,SWT;;4;4;4;6;4;5;4;4;5;7;5;4;3;7;4;4;4;5;3;5;3;3;3;
945068;Muhiba;Knüppel;a;$2a$10$enrSTfU.5idx7WX8rem5quJAVD3cQmwQN3h5KVLPkzMJiZfV80.pq;4;$2a$10$2J3WIcEFpWmKyj/KunCrrOKdAAJz8arsC.dnLQm5ojez2IuijkpFS;2008;5;LA,Algo,HM,SWT;;5;6;3;7;4;5;3;5;4;3;5;3;3;5;6;7;4;5;6;4;4;3;4;
949579;Ewald-Hans;Wachter;a;$2a$10$OT2nKuRLZnk8/QU9nNkj3OblndNzhGFxyx0qdSaCdJOFDAW0/pf4K;36;$2a$10$pAjPTDSHUFL1gujkBn7lHuMgz/ay/iBTca5/70oulQbafb7LTDCSa;2008;3;LA,Algo,HM,SWT;;3;3;6;7;3;5;4;4;4;3;5;4;3;6;3;6;4;5;5;3;3;3;6;
950313;Milijana;Wolter;a;$2a$10$MqpXdWV7/y8AocjOO8vq6OAbQq9q/rbIqHzPBZBXnO31sdUT5AKkO;;;2008;5;Algo,HM,SWT;;5;5;3;6;4;3;4;3;6;7;4;3;5;6;3;3;4;5;6;3;3;5;3;
967540;Maria-Helene;Pfeil;a;$2a$10$ubXm/HFJAVcEqrv0DNcZDeIE9YE1HbnTFwwYGfi2dEyviRxDR2tMa;23;$2a$10$W1HlhXiuzBEbcbRszaPBpub1r2hSDd.V720L2oDO9mTgW6lh/ZKrC;2008;3;LA,Algo,HM,SWT;;6;4;3;7;4;5;3;3;3;4;3;3;3;6;3;4;4;4;6;7;3;3;4;
968102;Theresia;Rentsch;a;$2a$10$AtX6Aex.x.AwWPy5wWTJYeWEQ7kyzJKMhkhHjEXV6ERwrpYGwOoKO;40;$2a$10$CspiVTntrAW.1ZGfDoRYQOUPVh3xTj1XM2pcA6nsShQ0IHKMY3XjC;2008;3;LA,Algo,HM,SWT;;3;3;4;6;3;5;5;3;6;3;4;5;3;3;4;7;4;4;5;3;3;3;3;
980210;Nellya;Kast;a;$2a$10$kfIgldoLR1AZ1YhnBSxA5.L32Mu0eHZVVeplbC8AhGzuSFrpLPm1C;33;$2a$10$rJrcdU2s.yfeDCUhH3GefuPbwp.HvO2ViGsDf.T/Ph4OiFUh0e0Ku;2008;3;LA,Algo,HM,SWT;;6;5;4;7;3;7;3;5;5;3;7;6;3;7;6;7;4;7;6;4;3;3;4;
983692;Süleymann;Mehner;a;$2a$10$woz29cXxCFjPb5iBymi8WeWCxZGXucddzNwr3JMJeGfRklgbMHoEa;3;$2a$10$sqduozRkszM8tMUUaTC6W.9EIWYp/MBNqFrQBQeTz45T.j3AZldVS;2008;5;Algo,HM,SWT;;3;3;5;3;3;4;3;3;3;3;5;5;7;3;4;3;4;5;3;4;6;7;7;
988022;Sunsa;Geißler;a;$2a$10$YLCz.uwk7ZAcnBnAAEzCFe9T32/pDfd8J5yDajikoxbEnLkJMi.0u;10;$2a$10$hfQILxiQAY717kms3ecAIOm8A7Vx9tAdLUvKg9Ay4cyTPQ7AQkDh6;2008;4;Algo,HM,SWT;;5;6;5;4;3;6;5;3;4;3;6;5;3;7;3;6;4;6;3;3;3;3;4;
991914;Belagia;Reinert;a;$2a$10$eEQG2C5tTyCffuC9ubPDi.nyniFaQWYGgasJBYUO9nH5BeX6dkxVm;;;2008;3;Algo,HM,SWT;;6;3;6;4;3;5;3;5;4;3;6;5;7;5;4;5;4;4;6;5;7;7;4;
992573;Görr;Claußen;a;$2a$10$TVJEpfyQsy7X5DYrjfWRpe76MzD9rrQYrIn58Hf4eL1pyXPKNEfHm;;;2008;5;Algo,HM,SWT;;3;7;3;6;4;5;3;4;3;3;5;3;3;4;4;3;4;4;3;4;3;4;3;
994188;Filis;Heckel;a;$2a$10$eZODGyfYggEDsQAPb6CGDOuvPH9F/mIetlXvt4wDrNUd.LFgqh1sO;;;2008;7;LA,Algo,HM,SWT;;5;5;6;4;4;3;5;5;7;6;3;4;5;6;4;3;4;6;6;3;5;6;4;
1003391;Xuemei;Möckel;a;$2a$10$dYxzFcOFszmsmKOtt2GLBOOV.svxRJ/7nqdMIVJn./FRIU2B8BhFO;12;$2a$10$hMLNnKt2UooLBV2WLZP97uizoftREzBjwftyUvvKerKg/z3mv767e;2008;3;LA,Algo,HM,SWT;;5;7;6;3;5;5;5;4;5;4;4;6;4;5;6;3;4;7;5;5;4;4;6;
1112828;Kerasia;Lüth;a;$2a$10$vYc7Ryn65mrt8hOQTzGK8.EFnHxanuyua.XOrFmXaD43uyHZ55ZT2;17;$2a$10$lDLFarWipk/PlmYiNwl6X.T13ntlvATE9OlGQjxVT.UtQzn8sayJC;2008;5;LA,Algo,HM,SWT;;4;5;3;6;4;7;5;5;5;4;5;3;7;5;4;4;4;3;3;3;6;5;4;
1114187;Bloch;Fetzer;a;$2a$10$KnDrYVut2VScFa4Kodj4VuZ3/bpmbftHGjDedm4ewhr.xXbY8GM6i;44;$2a$10$BBnfyXOTQ9JCKKfa6umheud5WU89kxmS4blGJdlNdHgLGbxdtJRQG;2008;3;LA,Algo,HM,SWT;;3;4;6;3;3;3;3;5;3;6;3;6;5;3;5;3;4;7;3;4;5;4;6;
1114295;Madfa;Diener;a;$2a$10$odgvUxXEzS67rjAYKp8NVetpn.odZiHUq25v8EAUrMJpdrtTGoK6O;;;2008;5;Algo,HM,SWT;;4;5;4;7;4;4;6;5;5;3;6;6;3;7;4;5;4;5;7;7;3;3;5;
1115979;Maki;Jünger;a;$2a$10$hfXVQxnYv36F1YW65qhDY.rJadbmtYecG2XpGWaAO1Q9x/B1hmMkS;19;$2a$10$YcWIb5iMcUpDtRvmrZGY5O63bBjHJ/Nn3/43uv7fYfRsR3oOQ9Ns2;2008;5;Algo,HM,SWT;;5;5;4;7;3;7;3;6;4;3;3;5;6;5;5;7;4;6;6;5;6;7;7;
1009386;Zinka;Schramm;a;$2a$10$fSgc1gx/S9SJtn3/vdeAA.elhCEfSPmDVb2ppAaUOvIM0qZRA7pW2;;;2008;5;HM,SWT;;3;3;4;7;3;6;3;6;3;5;3;4;3;5;3;7;4;6;6;7;3;3;6;
1018651;Ehrenfried;Rein;a;$2a$10$mne7Ex7hBQOjZ3HwNfGK2eKKTowJsYQV65avT.m4HjcxjAsHRbY5S;45;$2a$10$YeqPyT57Bz7MMicNZtQiKOU9H4hKFcd4Jr2tvhfF3MFcRQYq395TW;2008;7;HM,SWT;;3;6;6;5;3;5;3;6;3;4;4;7;3;6;3;4;4;6;3;6;6;7;7;
1019087;Irme;Melchior;a;$2a$10$R4Ka.HGdS4kgcBsU1yzZEuVMGqh59.ABw.zeMqIDxcimHUZYmxXRG;;;2008;5;LA,HM,SWT;;5;4;6;4;4;5;4;6;5;3;5;6;5;5;3;6;4;6;5;7;5;3;5;
1024025;Rossitza;Polzin;a;$2a$10$AUetHbGJujS0wrm1NVWTUOTaoHVE3xZL2er9LxWoF4xcFbxh2/CIC;27;$2a$10$4gq/DZD2L8oLsmlv/D4IOueDU/BDbziLFiOKJwZcGPoIeV9RVhwtO;2008;3;LA,Algo,HM,SWT;;4;3;5;3;3;4;4;5;5;3;5;5;7;3;4;6;4;4;4;7;4;5;6;
1028343;Erika-Maria;Ring;a;$2a$10$XDHblZnBQwYyINqTn20Kk.yi7cMWPhktl9REV.7xCJ122YtG8X/JC;49;$2a$10$c6m7Ixhk.pd10etjsfxxhu.D.G1mx/BZHkAhwBYaK0WR0QIiDn4vC;2008;5;Algo,HM,SWT;;5;6;6;7;3;6;5;3;5;4;4;3;3;4;3;3;4;6;4;3;4;3;3;
1043511;Marcello;Baumer;a;$2a$10$I3uNIEs.qbBSkhSHdA3T7eVwj1tkHsYN3DnTPnlpZTf1r8kM7M35O;;;2008;5;LA,Algo,HM,SWT;;5;5;5;7;4;5;6;5;6;3;6;4;5;4;4;6;4;6;6;6;4;4;4;
1056056;Mandrina;Böse;a;$2a$10$6q8eJ4hg2msvMJ0/x24F/ejmL6.2/LMEApOEnIqWrW/byvhXLEJeK;2;$2a$10$VBw8nkD6w7x8mSu9mICsUOONcpip0Gvcm1K7SqjB5Lr//y3.O0iz2;2008;3;LA,Algo,HM,SWT;;4;5;5;7;5;7;7;4;7;3;7;5;4;4;5;4;4;4;6;5;4;4;6;
1057908;Tonja;Buss;a;$2a$10$kPncxkmsi0FzCURtSlsw8uSuYJHavInvBAJYY0ddZX61jUknQm50S;6;$2a$10$TtQowNZqWqdRt/f.yyb6j.N7IVkQO4c/chQkd.LsKSUvexqD5JWLi;2008;5;Algo,HM,SWT;;4;7;7;5;4;5;6;4;4;3;5;5;3;7;4;4;4;7;4;5;3;3;4;
1061731;Sigl;Wagenknecht;a;$2a$10$AUeMOpmZ/OANI8ugMOkuYu8utuZDf9ydO1ctV8p0X9wosH.wx0l8.;39;$2a$10$mTibm/KlLc.9jOg4Soeq7.28ipeojpejc2r.rM3Qx7lN0VUqApOCG;2008;3;Algo,HM,SWT;;3;3;6;7;3;6;3;6;6;5;6;5;4;6;3;7;4;5;4;3;3;3;6;
1068739;Vica;Grützner;a;$2a$10$dO2cVst5AZFk.hIJG0Ua2OfjBl4MXYPqWqXw7rMyMySFqMTFORZ/.;27;$2a$10$4gq/DZD2L8oLsmlv/D4IOueDU/BDbziLFiOKJwZcGPoIeV9RVhwtO;2008;3;LA,Algo,HM,SWT;;4;3;5;3;3;4;4;5;5;3;5;5;7;3;4;6;4;4;4;7;4;5;6;
1070429;Hukyiar;Brucker;a;$2a$10$98XtYoOff0vlMcAyK1rSSOAIhJptoEPo7fEaCXjFva.58LaUcjZoq;50;$2a$10$vwAjvgMaQOAlSEnYuaQesOdWBxr4WRq.l.x.sv2io60c163z51nei;2008;3;LA,Algo,HM,SWT;;4;6;6;7;4;6;4;4;4;6;6;4;4;4;4;7;4;6;6;6;3;4;5;
1076959;Hein-Eike;Rücker;a;$2a$10$4iHPPjMXIx.ScavwqBXQJe2taszDug2ifqLNg/OTnOamYovpsseG2;17;$2a$10$lDLFarWipk/PlmYiNwl6X.T13ntlvATE9OlGQjxVT.UtQzn8sayJC;2008;5;HM,SWT;;4;5;3;6;4;7;5;5;5;4;5;3;7;5;4;4;4;3;3;3;6;5;4;
