MatNr;Vorname;Nachname;E-Mail;Passwort;Lerngruppenname;LerngruppePasswort;SPO;Fachsemester;Bestandene Teilleistungen;Noch ausstehende Teilleistungen;"""3D Reconstruction Framework from Multi-View Images (3D-MuVi)""";"""Android-Applikation KIT-Mensa-Speiseplan""";"""Assistenztools für den Maschinenbau""";"""ChronoCommand - An Intelligent Web-Based Work Time Tracking Tool""";"""Crowd Control -- Entwicklung von Steuerungsmechanismen für das Crowd Computing""";"""DataDealer - Middelware für die interaktive Visualisierung verteilter Sensoren in WebApps""";"""DataScientist -- benutzerorientierte Analyse großer hochdimensionaler Datenbestände""";"""Der Microsoft Imagine Cup 2016 (nur 4er Teams)""";"""Der WorkspaceService - Die smarte Lernumgebung am KIT basierend auf HTML5 und REST""";"""Distributed Camera Network 3D Calibration Suite""";"""Dynamic scheduler for scientific simulations""";"""Echtzeit-Computergrafik in der Spieleentwicklung""";"""Industrie 4.0 und OPC UA""";"""Interaktive Visualisierung von Real-Estate-Daten""";"""Komponenten-Windkanal - Automatisches Ausmessen der Performance von Software-Komponenten""";"""Medienbrowser zur inhaltsbasierten Suche in Bild- und Videodaten""""Mobile Reconnaissance Manual -interaktive Assistenz für Erkennungsaufgaben""";"""Modulares Multimedia-Werkzeug zum Testen von Videoencodern""";"""Node.js Bindings for ROOT6 (auf Englisch)""";"""OpenID Connect for Linux (auf Englisch)""";"""ProfiNet-Modul für das Intrusion-Detection-System Snort""";"""RoboCorder - Aufnahme und Wiedergabe von heterogenen Sensordaten eines humanoiden Roboters""";"""Webapplikation zur Verwaltung Nachbearbeitung und Analyse multispektraler Datensätze"""
903151;Franzi;Riemann;a;b;8;c;2008;3;HM,LA,SWT,Algo;;2;4;2;3;2;0;1;1;1;3;0;2;0;1;4;4;3;3;4;0;0;3
907829;Resa;Diedrich;a;b;9;c;2008;3;HM,LA,SWT,Algo;;2;1;2;1;1;2;2;1;3;2;2;1;2;2;1;4;3;4;1;1;0;1
911578;Tatyana;Grunwald;a;b;40;c;2008;3;HM,LA,SWT,Algo;;0;0;1;3;0;2;2;0;3;0;1;2;0;0;1;4;1;2;0;0;0;0
923391;Hasretmakbule;Ruck;a;b;42;c;2008;5;HM,SWT,Algo;;1;0;4;0;2;0;0;0;0;0;2;4;0;0;1;4;2;1;3;0;0;4
926676;Sinek;Röhl;a;b;31;c;2008;5;HM,SWT,Algo;;1;2;2;2;0;4;4;2;4;2;4;0;0;4;0;3;4;0;3;0;0;2
927135;Mübeccel;Puls;a;b;36;c;2008;3;HM,LA,SWT,Algo;;0;0;3;4;0;2;1;1;1;0;2;1;0;3;0;3;2;2;0;0;0;3
927867;Rexhaj;Dahl;a;b;21;c;2008;3;HM,LA,SWT,Algo;;0;1;1;2;0;3;3;0;0;4;2;0;0;3;0;3;1;0;0;0;0;2
930707;Adjevi;Reusch;a;b;28;c;2008;3;HM,LA,SWT,Algo;;1;1;1;3;1;2;1;1;2;4;2;1;0;4;1;1;2;0;2;0;0;0
945068;Muhiba;Knüppel;a;b;4;c;2008;5;HM,LA,SWT,Algo;;2;3;0;4;1;2;0;2;1;0;2;0;0;2;3;4;2;3;1;1;0;1
949579;Ewald-Hans;Wachter;a;b;36;c;2008;3;HM,LA,SWT,Algo;;0;0;3;4;0;2;1;1;1;0;2;1;0;3;0;3;2;2;0;0;0;3
950313;Milijana;Wolter;a;b;;c;2008;5;HM,SWT,Algo;;2;2;0;3;1;0;1;0;3;4;1;0;2;3;0;0;2;3;0;0;2;0
967540;Maria-Helene;Pfeil;a;b;23;c;2008;3;HM,LA,SWT,Algo;;3;1;0;4;1;2;0;0;0;1;0;0;0;3;0;1;1;3;4;0;0;1
968102;Theresia;Rentsch;a;b;40;c;2008;3;HM,LA,SWT,Algo;;0;0;1;3;0;2;2;0;3;0;1;2;0;0;1;4;1;2;0;0;0;0
